Time,AirT_Lapse1_daily_mean
2017-08-28,21.48425
2017-08-29,21.921875
2017-08-30,17.607
2017-08-31,18.233
2017-09-01,18.231625
2017-09-02,21.234125
2017-09-03,22.359625
2017-09-04,21.609
2017-09-05,21.8615
2017-09-06,20.985625
2017-09-07,19.046625
2017-09-08,16.856625
2017-09-09,13.537875
2017-09-10,12.284875
2017-09-11,14.601
2017-09-12,15.165875
2017-09-13,13.537625
2017-09-14,12.91
2017-09-15,13.22275
2017-09-16,13.411125
2017-09-17,11.28225
2017-09-18,7.6475
2017-09-19,7.835625
2017-09-20,8.023375
2017-09-21,8.462375
2017-09-22,11.03175
2017-09-23,12.284625
2017-09-24,11.846
2017-09-25,12.097375
2017-09-26,12.598
2017-09-27,14.288375
2017-09-28,14.4343333333
