datetime,Tgrounddaily_Lapse4,Tgrounddaily_Lapse6,Tgrounddaily_Lapse7
2016-07-27,12.125,11.6875,12.6875
2016-07-28,12.75,12.3125,13.375
2016-07-29,13.0,13.25,14.0
2016-07-30,12.0625,11.5,11.9375
2016-07-31,10.9375,9.375,9.5625
2016-08-01,10.875,9.875,10.0625
2016-08-02,10.6875,8.4375,8.625
2016-08-03,10.1875,7.625,7.8125
2016-08-04,10.625,9.0,8.5
2016-08-05,11.25,9.9375,9.6875
2016-08-06,10.4375,8.625,8.625
2016-08-07,10.125,7.9375,8.0625
2016-08-08,9.75,7.3125,7.0625
2016-08-09,10.125,7.5,7.5625
2016-08-10,10.5,8.4375,8.5625
2016-08-11,11.1875,10.0,10.125
2016-08-12,12.4375,11.5625,11.875
2016-08-13,13.1875,12.625,12.75
2016-08-14,13.0,12.375,12.875
2016-08-15,12.4375,11.875,12.4375
2016-08-16,12.3,11.4,12.083333333299999
2016-08-17,,,
2016-08-18,,,
2016-08-19,,,
2016-08-20,,,
2016-08-21,,,
2016-08-22,,,
2016-08-23,,,
2016-08-24,,,
2016-08-25,,,
2016-08-26,,,
2016-08-27,,,
2016-08-28,,,
2016-08-29,,,
2016-08-30,,,
2016-08-31,,,
2016-09-01,,,
2016-09-02,,,
2016-09-03,,,
2016-09-04,,,
